,0
38,"От всего сердца поздравляю с днем рождения! Желаю душевной гармонии, материального благополучия и безоблачного неба. Пусть счастье и удача будут вечными спутниками, а здоровье никогда не подводит. Желаю надежных и добрых друзей рядом, которые поддержат в трудную минуту и разделят счастливые моменты."
39,"Поздравляю с самым волшебным в мире праздником — днем рождения! В этот прекрасный день хочется пожелать, чтобы несбывшихся мечтаний становилось все меньше и меньше. Крепкого здоровья, улыбок, счастья и добра. Добивайтесь, верьте, мечтайте, живите! Верных друзей, благополучия в семья, карьерного роста. Пусть все, что Вы делаете, приносит Вам удовольствие. Пускай удача всегда будет рядом, и жизнь будет наполнена счастьем и добром."
40,"От всей души поздравляю с днем рождения! Желаю много солнечных и светлых дней, верных друзей рядом, новых свершений и прекрасных возможностей, сибирского здоровья, любви, достатка, удачи в любом деле! Счастливых событий, свершения всех планов и мечтаний!"
41,"Поздравляю с днем рождения! Желаю, чтобы каждый день жизни был наполнен легкостью, здоровьем, новыми возможностями, любовью, искренностью и успехом. Будьте безгранично счастливы, впитывайте положительные эмоции и излучайте благополучие!"
42,"Поздравляю с днем рождения! Желаю, чтобы всё самое лучшее притягивалось в твою жизнь, чтобы тебя ценили, опекали, оберегали, всячески поддерживали и бескорыстно дарили свою любовь. Здоровья тебе, красивой мечты и надежной руки в жизненном путешествии!"
43,"Поздравляю с днем рождения! Желаю каждый день просыпаться с ощущением счастья и в самом лучшем настроении. Пусть здоровье и деньги по умолчанию только множатся, а мечты и желания исполняются как можно чаще, позволяя радоваться новым победам и всегда улыбаться."
44,"Поздравляем с днем рожденья! От всей души желаем много-много счастья, бодрости, здоровья, любви, красоты рассветов и закатов, вечной молодости в душе и всех благ! Пусть рядом всегда будут верные друзья, в кошельке пусть множатся деньги, а в доме цветут уют, радость, тепло и достаток!"
45,"Поздравляю со знаменательной датой — днем рождения! Желаю всего самого наилучшего, наипрекраснейшего, чтобы всё в жизни складывалось легко, удачно и невероятно красиво. Чтобы дом был полной чашей, а семья — счастливейшими людьми. Чтобы все желания и мечты сбывались легко и на одном дыхании. Но самое главное, что просто необходимо пожелать, — это вечного здоровья, ведь без него ничего другого не будет!"
46,"Желаю, чтобы в твоей жизни был только позитив, а рядом находились верные друзья. Пускай тебя всегда переполняет неисчерпаемая энергия для осуществления всех твоих желаний. Пусть вся жизнь будет безоблачной и яркой, а в доме царят уют, мир, любовь и счастье. Если говорить короче, то от всей души желаю тебе прожить жизнь так, как будто побывать в сказке. С днем рождения!"
47,"Поздравляю с днем рождения! Искренне желаю самых лучших дней, приносящих с собой радужное настроение, удачу, любовь и бесконечное счастливое время. Пускай здоровье только крепнет, красота души не увядает, а жизнь преподносит чудесные подарки. Пусть живется просто как в сказке."
48,"С днем рождения! Я желаю тебе, чтобы всё, на что направлены твои мысли и старания, непременно исполнялось! Люби, и пускай тебя любят! Энергия пусть бьет в тебе ключом, и пусть каждый момент и каждая встреча будут наполнены неизгладимыми впечатлениями и небывалыми красками! Хочу пожелать триумфа, смелости, благосклонности фортуны, истинных друзей и невероятных событий!"
49,"Поздравляю с днем рождения! В этот прекрасный день желаю, чтобы сказочная птица счастья принесла на своем хвосте удачу, огромный запас здоровья, сил и энергии, хорошее настроение и все жизненные блага. Пусть все изменения, которые происходят в жизни, будут только к лучшему! Пусть каждый день приносит новые и радостные открытия, а окружающие люди будут всегда добрыми и отзывчивыми."
50,"Поздравляю с днем рождения! В этот замечательный день желаю тебе крепкого здоровья, верных и преданных друзей, безграничного счастья, безразмерных доходов, сумасшедшей любви и побольше радостных дней! Хорошего тебе настроения и отличного праздника!"
51,"Поздравляю с днем рождения. Желаю крупных успехов, крепкого здоровья и надежных друзей. Пусть дом твой будет уютным, теплым и добрым. Пусть никогда не исчезает вдохновение жить, любить, творить и побеждать."
52,"Хочу тебя поздравить с днем рождения, пожелать ярких эмоций и красок, побольше позитивных мгновений, сказочных воспоминаний, чтобы в твоем окружении были только те люди, которые тебя принимают и понимают. Чаще улыбайся жизни, и пускай она улыбается тебе в ответ."
53,"С днем рождения! Желаю солнца, тепла, мира, веселья, денег, успехов во всех начинаниях, любви, благополучия, исполнения самых заветных желаний, здоровья и вдохновения! Пусть жизнь дарит много приятных сюрпризов, друзья всегда окружает тебя, а глаза искрятся от счастья!"
54,"С днем рождения! Пусть этот день будет полон самых неожиданных и радостных сюрпризов и долгожданных подарков. Пусть рядом с тобой всегда будут самые дорогие люди, верные и надежные друзья. Счастья, любви и добра твоему дому. И пусть тебе улыбнется удача!"
55,"С праздником тебя! Этот день только твой. Желаю нескончаемого счастья, удачи, крепкого здоровья, любви, взрывных эмоций. Пусть у тебя всегда будет сила воли и энергия для выполнения любого задания. Любви тебе и уважения со стороны близких, друзей, окружения. Хочу, чтобы в твоей жизни происходила много прекрасных, ярких, огненных событий. С днем рождения!"
56,"Поздравляю с днем рождения! Желаю считать свой возраст не по количеству лет, а по количеству счастливых дней, ярких воспоминаний, прекрасных мгновений, эмоций восторга и радости. И пусть всего этого у тебя будет больше, чем много. Здоровья, любви, успеха, материального и духовного достатка!"
57,"Поздравляю с днем рождения! Желаю множество незабываемых моментов, пусть всегда сбываются твои самые заветные желания. Надеюсь, что в твоей семье будет царить только счастье и понимание, а окружать тебя будут лишь искренние, добрые и надежные люди!"
58,"Поздравляю с днем рождения и от души желаю каждый день своей жизни встречать с улыбкой и невероятным ощущением счастья, всегда верить в себя и наслаждаться каждым мгновением. Пусть мечты твоего сердца исполняются, пусть вдохновение для души дарит любовь и удача!"
59,"Поздравляю с днем рождения! Хотелось бы пожелать много счастья и любви! Пусть невзгоды обходят Вас стороной, и каждый день радует только хорошими событиями. Желаю, чтобы мечты непременно осуществились. И конечно же, чтобы в Вашем сердце жил покой, а Ваша душа ликовала от светлых моментов жизни. Пусть каждый день дарит только радость и искренних людей в Ваш дом!"
60,"С днем рождения! Желаю неискоренимого оптимизма, внутренней уверенности, личной независимости, неизменного успеха, карьерного роста, крепкого духа, материального благополучия, бодрого настроения. Пусть по жизни сопутствуют удача, радость и любовь!"
61,"Поздравляю с днем рождения! Желаю как можно больше счастливых моментов в жизни, чтобы каждый прожитый миг приносил удовольствие, чтобы близкие люди радовали вас чаще, чем обычно. А также желаю фортуны, повернутой к вам лицом, и чтоб все позитивные мысли, которые вас посещают, сбывались!"
62,"Поздравляю тебя с днем рождения! Желаю тебе много улыбок, от которых становится тепло на душе, побольше замечательных людей, которые не дадут тебе скучать и унывать (а ведь чем больше улыбок — тем больше тепла) и ярких дней, которые будут наполнены положительными эмоциями и счастьем!"
63,"Поздравляю Вас с прекрасным днем рождения! Пусть счастье и радость, любовь и удача всегда озаряют ваш жизненный путь! Желаю достатка, везения, преданных и верных друзей, хорошего настроения и крепкого здоровья на долгие-долгие года!"
64,"Искренне поздравляю с днем рождения. Желаю осуществить самые желанные мечты. Уюта в доме, на сердце и в душе. Уверенно шагать к своим целям, никогда не сдаваться, служить опорой для старших и образцом для младших, а самое главное, любви, здоровья и поддержки!"
65,"Поздравляю с чудесным праздником — днем твоего рождения! Пускай каждый новый день начинается с улыбки, шагай по жизни с высоко поднятой головой. Пускай воплощаются в жизнь все твои заветные мечты, реализуются даже самые амбициозные планы. Люби, мечтай, живи на полную!"
66,"Поздравляю с праздником рождения! Желаю от жизни получить все: счастья безграничного, здоровья отличного, друзей верных, настроения отменного, достатка круглогодичного и отдыха незабываемого. Пусть глаза всегда сияют радостью, а сердце пылает от любви!"
67,"Поздравляю с днем рождения! Хочу пожелать каждый день находить свое счастье, а оно может быть как в простых мелочах, например, в улыбке любимого человека или в кружке вкусного чая, так и в больших свершениях жизни, например, в грандиозной поездке куда-то или в смене твоего имиджа. И неважно, чем именно ты надумаешь заниматься в этот год своей жизни, главное, чтобы тебя уверенно можно было считать счастливым человеком — от самых пяток до кончиков волос! Успехов, любви, творчества, уверенности, удачи и радости!"
68,"Всё, что хочется пожелать в этот день, — это чтобы сбывалось то, о чём мечтается перед сном. Чтобы были здоровы и счастливы самые близкие люди. Чтобы друзья поддерживали в трудную минуту, а радовались вместе — в светлую. Пусть следующий год будет полон улыбок и слез от смеха. Желаю побольше памятных событий!"
69,"С днем рождения! Пусть каждый день будет полон добра, позитива, любви и положительными эмоциями. Желаю исполнения всех мечт и оставаться таким же прекраснейшим человеком! Пусть тебя окружают лишь честные, добрые и искренние люди. Изо дня в день желаю тебе развиваться, становиться лучше и наполнять свою жизнь незабываемыми моментами."
70,"Пусть душа расцветает с каждым днём, пусть сердце питает любовь и радость. Я поздравляю тебя с днем рождения! Желаю крепкого и надежного здоровья, несметного и вечного богатства внутреннего мира, крупной и неизменной удачи на пути, гармонии и самой искренней любви. И пусть каждый миг, каждый день, каждый год приносит только счастье!"
71,"Поздравляю с днем рождения! Желаю удачи, счастья, волшебства, успеха во всех начинаниях и продолжениях, верных друзей, любви и солнечного настроения на каждый день. Желаю, чтобы каждое утро начиналось с чашечки чая и радостной улыбки!"
72,"Поздравляю с днем рождения! Желаю тебе всегда оставаться таким же бурлящим потоком радости и веселья. Смотри на жизнь с позитивом и целеустремленностью. Не бойся преград, ибо, только преодолевая их, мы осознаем, ради чего стоит жить. Имей много денег, но не поддавайся их соблазнам. Дари тепло и получай его взамен. Пусть друзья всегда придут на помощь, а враги обходят стороной. Пускай удача всегда сопутствует тебе на жизненном пути. Но самое главное — всегда оставайся собой. Еще раз с днем рождения! Всех благ!"
73,"Хочу поздравить с днем рожденья и пожелать добра, любви, здоровья, мира, преуспевать во всех начинаниях, а еще чтобы деньги водились. Желаю яркой жизни, чтобы новый день не был похож на предыдущий, счастья в семье, успехов в работе, а в доме — уюта и тепла."
74,"С днем рождения! Пусть ничто не мешает сбываться твоим мечтам. Пусть всегда будет повод улыбнуться, и это ободряет твой дух. Желаю быть в гармонии с собой, всегда иметь время на любимое занятие и единомышленников, которые поддержат тебя в любых начинаниях, даже в чудачествах. Удачи тебе, успеха и здоровья."
75,"С днем рождения! Сегодня день исполнения всех твоих желаний и мечтаний. Желаю тебе самого лучшего настроения, солнечных улыбок от окружающих, и еще ярче улыбки на твоем лице. Хочу пожелать встречать самых лучших людей на твоем пути, и чтобы они всегда были рядом с тобой. Пусть в этот праздник произойдет чудо, которого ты больше всего ждешь!"
76,"Желаю, чтобы в твоей душе всегда было равновесие, а гармония с окружающим миром делала твою жизнь легкой и счастливой. Пускай переживания будут только любовными, а страдания и разочарования не присутствуют в твоем сердце вовсе. Желаю, стабильности в жизни, чтобы в ней постоянным были и достаток, и благополучие, и счастье. Пускай сбывается и осуществляется все самое заветное и искренне желаемое. С днем рождения!"
77,"Пускай твой день рождения будет полон ярких красок, приятных сюрпризов и радужного позитива! Пусть вся твоя жизнь состоит из безграничного счастья и радостных моментов! Желаю искренних улыбок, хороших друзей и взаимной любви!"
78,"Пускай счастье переполняет твое сердце и каждое мгновение приносит море радости, удачу и сотни приятных сюрпризов! Пускай желания и мечты станут сказочной реальностью! Улыбайся как можно чаще, купайся в любви и получай удовольствие от жизни!"
79,"Прими сегодня наши самые душевные, добрые, искренние и сердечные пожелания здоровья, счастья, взаимной любви, благополучия и удачи. Пусть этот замечательный день станет поводом для радости твоих близких и родных людей. Живи ярко, пусть каждый день твоей судьбы будет наполнен положительными эмоциями, приключениями и смехом. Дерзай и добивайся, верь и мечтай. Пусть всё исполнится!"
80,"Поздравляю с днем рождения! В этот чудный и красочный день я желаю тебе здоровья, веселья, чтоб беды прошли, отступили ненастья, а в дом твой вошло огромное счастье! Любовь пусть в душе поселится навсегда. Желаю, чтоб мечты все твои исполнялись. Желаю надежды, терпения. Пусть прекрасным будет каждое мгновение. А еще щедрого тепла, изобилия во всём! Чтобы гармоничной жизнь была, а хлебосольным и уютным — дом. Прибыль, радость и везение пусть идут рядом с тобою день за днем. Доброта и верность пусть насыщают всегда дом. Улыбок тебе, радости, успеха, вдохновения, взлетов без падений и желаний исполнения!"
81,"Желаю счастья, здоровья, улыбок, вдохновения, верности, восторга, яркой жизни, терпения, крутых подъемов, достатка, тепла, огня, мечты и ее исполнения, энергии, любви, опьянения от счастья, доброты, надежды, удачи, успехов и всего самого лучшего!"
